id,name,lat,lon
1,Bahrain,26.0667,50.5577
2,Egypt,26.820553,30.802498
3,Turkey,38.963745,35.243322
4,Jordan,30.585164,36.238414
5,Israel (?),31.046051,34.851612
6,Syria,34.802075,38.996815
7,Albania,41.153332,20.168331
8,Germany,51.165691,10.451526
9,Palestine,31.952162,35.233154
10,Iraq,33.223191,43.679291
11,England,52.83816401,-2.327480844
12,Tunisia,33.886917,9.537499
13,Serbia,44.016521,21.005859
14,Los Angeles,34.0549076,-118.242643
15,Lebanon,33.854721,35.862285
16,Israel,31.046051,34.851612
17,the middle east,29.2985278,42.5509603
18,Detroit,42.3297182,-83.0424533
19,Cairo,30.0444196,31.2357116
20,"Los Angeles, CA",34.0549076,-118.242643
21,"Cairo, Egypt",30.0444196,31.2357116
22,"Taher Square, Cairo, Egypt",30.0445393,31.2352658
23,Hashemite Kingdom of Jordan,30.585164,36.238414
24,"San Francisco, California",37.7749295,-122.4194155
25,"Amman, Jordan",31.9543786,35.9105776
26,"Farmington Hills, Michigan",42.4989936,-83.3677168
27,"West Bloomfield, Michigan",42.5575353,-83.3613662
28,"Brooklyn, NY",40.6781784,-73.9441579
29,Balata Camp,32.207228,35.285928
30,Palermo,38.1156864,13.3614635
31,West Bank,31.9465703,35.3027226
32,"Balata Camp, Palestine",32.2067459,35.2869393
33,Damascus,33.5132192,36.2768193
34,"Detroit, Michigan",42.3297182,-83.0424533
35,"Joshua Tree, CA",34.134728,-116.3130661
36,"Joshua Tree, California",34.134728,-116.3130661
37,"Joshua Tree National Park, California, USA",33.873415,-115.9009923
38,"Los Angeles, California",34.0549076,-118.242643
39,"Venice, Italy",45.440379,12.3159547
40,"Aachen, Germany",50.7753455,6.0838868
41,"Leeds, England",53.8007554,-1.5490774
42,"Gaza, Palestine",31.5016951,34.4668445
43,"San Diego, California",32.715738,-117.1610838
44,"Ann Arbor, Michigan",42.2808256,-83.7430378
45,"London, England",51.5072178,-0.1275862
46,"Boston, Massachusetts",42.3555076,-71.0565364
47,"Dublin, Ireland",53.3498053,-6.2603097
48,"Athlone, Ireland",53.4239226,-7.9402775
49,"Tramore, Ireland",52.1614354,-7.1492952
50,"Waterford, Ireland",52.2572983,-7.1115235
51,"Moycullen, Ireland",53.3387481,-9.1814776
52,"Cork, Ireland",51.8985143,-8.4756035
53,"Abbeyleix, Ireland",52.9152801,-7.3478923
54,"Ballyhaunis, Ireland",53.7628378,-8.7645957
55,Africa,-8.783195,34.508523
56,Palermo,38.1156864,13.3614635
57,Africa,-8.783195,34.508523
58,Mediterranean,34.5531284,18.0480105
59,Italy,41.87194,12.56738
60,Zitelle,42.5224175,-70.89319
