Title,Created On,Updated On,Published On,Author,Author_Birth_Country,Birth_Country_Latitude,Birth_Country_Longitude,Author_Workplace,Submitted Creator Name(s),Contributors,Co-creators,Co-creators_Birthplace,Co-creators_Workplace,Artwork Description,Place_1,Place_1_Latitude,Place_1_Longitude,Place_2,Place_2_Latitude,Place_2_Longitude,Place_3,Place_3_Latitude,Place_3_Longitude,Place_4,Place_4_Latitude,Place_4_Longitude,Date of Creation,Medium,Format,Type,Language,Rights,Source Reference,Full Location of Artwork Creation (For the Map),Artwork_Latitude,Artwork_Longitude,Collection Title,Main Image / Cover,Additional Images,Submitted Keywords/ Subject,Tags
Ashrama - What is your refuge?,Mon Sep 30 2024 09:05:39 GMT+0000 (Coordinated Universal Time),Thu Dec 04 2025 20:36:34 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 00:18:12 GMT+0000 (Coordinated Universal Time),aashray-harishankar,,,,,,,,,,"<p>""Ashrama"" is an immersive, multi-disciplinary installation exploring refuge in our daily lives. Through collaboration on  immersive surround soundscapes, video, projections, light, art, environment design, sound stories, writing, and many other forms of expression, Aashray connects the varying perspectives on life through a shared desire and need for comfort and security.  This video documents the first iteration of ""Ashrama"", presented at California Institute of the Arts in Los Angeles, CA.</p>",Los Angeles,34.0549076,-118.242643,,,,,,,,,,2022,video,YouTube Video,Installation Documentation,English,Aashray Harishankar,<p>https://youtu.be/u6u-d-Jkb7s</p>,"Los Angeles, CA",34.0549076,-118.242643,,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ff9b2baacf2e7208b34f44_ashrama1.jpg,,"Refuge, Installation, Art, CalArts, Sound Art, Tapestry, Projection Art",refuge; installation; art; calarts; sound-art; tapestry; projection-art
"Nothing is True, Everything Is Possible",Mon Sep 30 2024 09:05:47 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 00:39:14 GMT+0000 (Coordinated Universal Time),Sat Jan 10 2026 18:04:27 GMT+0000 (Coordinated Universal Time),abbas-yousif,Bahrain,26.0667,50.5577,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>This work was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak (Like You, Like Me) exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process. <br><br>This painting represents a scene in Mitli Mitlak (Like You, Like Me). There is a mythical character called ‘Spirit Master’, who separates Ruba’s spirit from her lifeless body, and conducts a soul migration ceremony for her to go to the light in the ‘Out of Life’. <br><br>Abbas Yousif’s painting overlaps the below two sentences spoken by the Spirit Master, in painted Arabic letters: <br><br>Mitli Mitlak (Like You, Like Me), Act 1 Scene 4<br><br>Spirit Master: Nothing Is An Act, But Nothing Is The Truth, Except What Comes After Death. There Is No Such Thing As Facts. Nothing Is True, Everything Is Possible.<br><br>-----------------------------------------------------<br>Abbas Yousif’s multimedia works are made from calligraphy and Arabic alphabet. The Arabic letters are charged with explosive graphic symbols, which are like “spells” and aesthetically abstract. He applies different colors, printing techniques, collage, pastes, huge canvas, zinc etching on zinc, copper and silkscreen in his process.<br></p>",Lebanon,33.854721,35.862285,,,,,,,,,,2018,image,,Image,English,Rights Remain With Artist,,Bahrain,26.0667,50.5577,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc7a62026fb89acd478ab_nothing.webp,,,mitli-mitlak-like-you-like-me
The Soul Of Light,Mon Sep 30 2024 09:05:47 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 00:34:49 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 00:34:49 GMT+0000 (Coordinated Universal Time),abbas-yousif,Bahrain,26.0667,50.5577,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>The Soul of Light was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>This painting represents a scene in Mitli Mitlak (Like You, Like Me). There is a mythical character called ‘Spirit Master’, who separates Ruba’s spirit from her lifeless body, and conducts a soul migration ceremony for her to go to the light in the ‘Out of Life’.  Abbas Yousif’s painting overlaps the below two sentences spoken by the Spirit Master, in painted Arabic letters: <br><br>Mitli Mitlak (Like You, Like Me), Act 1 Scene 4<br><br>Spirit Master: “The Darkness Of These Waters Shall Be Cast With A Light.<br>I Come To Bless The Soul Of Light.”<br><br>Abbas Yousif’s multimedia works are made from calligraphy and the Arabic alphabet. The Arabic letters are charged with explosive graphic symbols, which are like “spells” and aesthetically abstract. He applies different colors, printing techniques, collage, pastes, huge canvas, zinc etching on zinc, copper, and silkscreen in his process.<br></p>",Lebanon,33.854721,35.862285,,,,,,,,,,2018,image,,Image,English,Rights Remain With Artist,,Bahrain,26.0667,50.5577,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc7d24df8da0ed2b67752_soul.webp,,,
Daily Images of Chaotic Events,Mon Sep 30 2024 09:05:49 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 01:52:40 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 02:14:44 GMT+0000 (Coordinated Universal Time),ahmed-nagy,Egypt,26.820553,30.802498,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>Ahmed Nagy’s series, Daily Images of Chaotic Events, was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>The series is based on pictures Nagy took with a cell phone, in the street during the Egyptian revolution. Daily Images of Chaotic Events is a cell phone capturing the Egyptian revolution. “I utilize what was happening in Egypt, and apply it as a formula to make artworks. In Egypt, what happened was fighting in the street. Through my artwork, I don’t have political say. The art itself is a great political action.  When I am inspired by the streets I create something new,"" says Nagy. <br><br>In Act 1, Scene 2, Mitli Mitlak (Like You, Like Me), this series of photos depicts the view from the window of a young couple’s apartment during war. Much like Nagy, the couple in Mitli Mitlak are poetic young artists who apply their own experiences during the war in the hopes that their art will enable truth to shine through the cracks of every day chaotic reality:<br><br>Act 1, Scene 2, Mitli Mitlak (Like You, Like Me)<br><br>Carlos: as the disappearance of reality...when there is no ruling body...the disappearance of our objectified self because ...the nonexistent social field. Our subjectivity is all there is...We collide in time. A deep meaning can arise when society is broken by war.<br><br>Ruba: (singing) Reality is not functioning. There is no social field. Watermoon. Thoughts in silence. Ideas of collective memories, global thinking overviews. Points of view. Watermoon. In my mind..on opaque screen...horizontality explained by the sea; writing on the water. In my dream, the sky is lit, the meaning of being..what is it?! Creation and destruction hand in hand. Watermoon. The Theory of Chaos, How to become the butterfly of yourself?<br></p>",Egypt,26.820553,30.802498,Lebanon,33.854721,35.862285,,,,,,,2018,image,,Image,English,Rights Remain With Artist,,"Cairo, Egypt",30.0444196,31.2357116,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc9a6ea245d514eb4ac34_daily1.webp,,,
Daily Images of Chaotic Events 10,Mon Sep 30 2024 09:05:47 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 01:53:56 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 02:14:44 GMT+0000 (Coordinated Universal Time),ahmed-nagy,Egypt,26.820553,30.802498,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>Ahmed Nagy’s series, Daily Images of Chaotic Events, was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>The series is based on pictures Nagy took with a cell phone, in the street during the Egyptian revolution. Daily Images of Chaotic Events is a cell phone capturing the Egyptian revolution. “I utilize what was happening in Egypt, and apply it as a formula to make artworks. In Egypt, what happened was fighting in the street. Through my artwork, I don’t have political say. The art itself is a great political action. When I am inspired by the streets I create something new,"" says Nagy.<br><br>In Act 1, Scene 2, Mitli Mitlak (Like You, Like Me), this series of photos depicts the view from the window of a young couple’s apartment during war. Much like Nagy, the couple in Mitli Mitlak are poetic young artists who apply their own experiences during the war in the hopes that their art will enable truth to shine through the cracks of every day chaotic reality:<br><br>Act 1, Scene 2, Mitli Mitlak (Like You, Like Me)<br><br>Carlos: as the disappearance of reality...when there is no ruling body...the disappearance of our objectified self because ...the nonexistent social field. Our subjectivity is all there is...We collide in time. A deep meaning can arise when society is broken by war.<br><br>Ruba: (singing) Reality is not functioning. There is no social field. Watermoon. Thoughts in silence. Ideas of collective memories, global thinking overviews. Points of view. Watermoon. In my mind..on opaque screen...horizontality explained by the sea; writing on the water. In my dream, the sky is lit, the meaning of being..what is it?! Creation and destruction hand in hand. Watermoon. The Theory of Chaos, How to become the butterfly of yourself?</p>",Egypt,26.820553,30.802498,Lebanon,33.854721,35.862285,,,,,,,2011,image,,Image,English,Rights Remain With Artist,,"Taher Square, Cairo, Egypt",30.0445393,31.2352658,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc844d70cde4871aa6732_daily10.webp,,,
Daily Images of Chaotic Events 2,Mon Sep 30 2024 09:05:49 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 01:52:48 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 02:14:44 GMT+0000 (Coordinated Universal Time),ahmed-nagy,Egypt,26.820553,30.802498,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>Ahmed Nagy’s series, Daily Images of Chaotic Events, was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>The series is based on pictures Nagy took with a cell phone, in the street during the Egyptian revolution. Daily Images of Chaotic Events is a cell phone capturing the Egyptian revolution. “I utilize what was happening in Egypt, and apply it as a formula to make artworks. In Egypt, what happened was fighting in the street. Through my artwork, I don’t have political say. The art itself is a great political action.  When I am inspired by the streets I create something new,"" says Nagy. <br><br>In Act 1, Scene 2, Mitli Mitlak (Like You, Like Me), this series of photos depicts the view from the window of a young couple’s apartment during war. Much like Nagy, the couple in Mitli Mitlak are poetic young artists who apply their own experiences during the war in the hopes that their art will enable truth to shine through the cracks of every day chaotic reality:<br><br>Act 1, Scene 2, Mitli Mitlak (Like You, Like Me)<br><br>Carlos: as the disappearance of reality...when there is no ruling body...the disappearance of our objectified self because ...the nonexistent social field. Our subjectivity is all there is...We collide in time. A deep meaning can arise when society is broken by war.<br><br>Ruba: (singing) Reality is not functioning. There is no social field. Watermoon. Thoughts in silence. Ideas of collective memories, global thinking overviews. Points of view. Watermoon. In my mind..on opaque screen...horizontality explained by the sea; writing on the water. In my dream, the sky is lit, the meaning of being..what is it?! Creation and destruction hand in hand. Watermoon. The Theory of Chaos, How to become the butterfly of yourself?<br></p>",Egypt,26.820553,30.802498,Lebanon,33.854721,35.862285,,,,,,,2011,image,,Image,English,Rights Remain With Artist,,"Taher Square, Cairo, Egypt",30.0445393,31.2352658,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc997ea245d514eb4a1fa_daily2.webp,,,
Daily Images of Chaotic Events 3,Mon Sep 30 2024 09:05:48 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 01:52:55 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 02:14:44 GMT+0000 (Coordinated Universal Time),ahmed-nagy,Egypt,26.820553,30.802498,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>Ahmed Nagy’s series, Daily Images of Chaotic Events, was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>The series is based on pictures Nagy took with a cell phone, in the street during the Egyptian revolution. Daily Images of Chaotic Events is a cell phone capturing the Egyptian revolution. “I utilize what was happening in Egypt, and apply it as a formula to make artworks. In Egypt, what happened was fighting in the street. Through my artwork, I don’t have political say. The art itself is a great political action. When I am inspired by the streets I create something new,"" says Nagy.<br><br>In Act 1, Scene 2, Mitli Mitlak (Like You, Like Me), this series of photos depicts the view from the window of a young couple’s apartment during war. Much like Nagy, the couple in Mitli Mitlak are poetic young artists who apply their own experiences during the war in the hopes that their art will enable truth to shine through the cracks of every day chaotic reality:<br><br>Act 1, Scene 2, Mitli Mitlak (Like You, Like Me)<br><br>Carlos: as the disappearance of reality...when there is no ruling body...the disappearance of our objectified self because ...the nonexistent social field. Our subjectivity is all there is...We collide in time. A deep meaning can arise when society is broken by war.<br><br>Ruba: (singing) Reality is not functioning. There is no social field. Watermoon. Thoughts in silence. Ideas of collective memories, global thinking overviews. Points of view. Watermoon. In my mind..on opaque screen...horizontality explained by the sea; writing on the water. In my dream, the sky is lit, the meaning of being..what is it?! Creation and destruction hand in hand. Watermoon. The Theory of Chaos, How to become the butterfly of yourself?</p>",Egypt,26.820553,30.802498,Lebanon,33.854721,35.862285,,,,,,,2011,image,,Image,English,Rights Remain With Artist,,"Taher Square, Cairo, Egypt",30.0445393,31.2352658,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc9891be63a9f6dd48857_daily3.webp,,,
Daily Images of Chaotic Events 4,Mon Sep 30 2024 09:05:48 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 01:53:02 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 02:14:44 GMT+0000 (Coordinated Universal Time),ahmed-nagy,Egypt,26.820553,30.802498,,,,"Biba Sheikh, Literary Text, Curator",,,"<p id="""">Ahmed Nagy’s series, Daily Images of Chaotic Events, was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>The series is based on pictures Nagy took with a cell phone, in the street during the Egyptian revolution. Daily Images of Chaotic Events is a cell phone capturing the Egyptian revolution. “I utilize what was happening in Egypt, and apply it as a formula to make artworks. In Egypt, what happened was fighting in the street. Through my artwork, I don’t have political say. The art itself is a great political action. When I am inspired by the streets I create something new,"" says Nagy.<br><br>In Act 1, Scene 2, Mitli Mitlak (Like You, Like Me), this series of photos depicts the view from the window of a young couple’s apartment during war. Much like Nagy, the couple in Mitli Mitlak are poetic young artists who apply their own experiences during the war in the hopes that their art will enable truth to shine through the cracks of every day chaotic reality:<br><br>Act 1, Scene 2, Mitli Mitlak (Like You, Like Me)<br><br>Carlos: as the disappearance of reality...when there is no ruling body...the disappearance of our objectified self because ...the nonexistent social field. Our subjectivity is all there is...We collide in time. A deep meaning can arise when society is broken by war.<br><br>Ruba: (singing) Reality is not functioning. There is no social field. Watermoon. Thoughts in silence. Ideas of collective memories, global thinking overviews. Points of view. Watermoon. In my mind..on opaque screen...horizontality explained by the sea; writing on the water. In my dream, the sky is lit, the meaning of being..what is it?! Creation and destruction hand in hand. Watermoon. The Theory of Chaos, How to become the butterfly of yourself?</p><p id="""">Photo Was Made With A Cell Phone, During The Egyptian Revolution in 2011, in Taher Square, Cairo Egypt</p>",Egypt,26.820553,30.802498,Lebanon,33.854721,35.862285,,,,Cairo,30.0444196,31.2357116,2011,image,,Image,English,Rights Remain With Artist,,"Taher Square, Cairo, Egypt",30.0445393,31.2352658,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc973bad0857ba75bb742_daily4.webp,,"Photography, Egyptian Art, Right to Live, Mitli Mitlak, Mediterranean Art, Mediterranean Fire",photography; egyptian-art; right-to-live; mitli-mitlak-like-you-like-me; mediterranean-art; mediterranean-fire
Daily Images of Chaotic Events 5,Mon Sep 30 2024 09:05:48 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 01:53:10 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 02:14:44 GMT+0000 (Coordinated Universal Time),ahmed-nagy,Egypt,26.820553,30.802498,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>Ahmed Nagy’s series, Daily Images of Chaotic Events, was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>The series is based on pictures Nagy took with a cell phone, in the street during the Egyptian revolution. Daily Images of Chaotic Events is a cell phone capturing the Egyptian revolution. “I utilize what was happening in Egypt, and apply it as a formula to make artworks. In Egypt, what happened was fighting in the street. Through my artwork, I don’t have political say. The art itself is a great political action. When I am inspired by the streets I create something new,"" says Nagy.<br><br>In Act 1, Scene 2, Mitli Mitlak (Like You, Like Me), this series of photos depicts the view from the window of a young couple’s apartment during war. Much like Nagy, the couple in Mitli Mitlak are poetic young artists who apply their own experiences during the war in the hopes that their art will enable truth to shine through the cracks of every day chaotic reality:<br><br>Act 1, Scene 2, Mitli Mitlak (Like You, Like Me)<br><br>Carlos: as the disappearance of reality...when there is no ruling body...the disappearance of our objectified self because ...the nonexistent social field. Our subjectivity is all there is...We collide in time. A deep meaning can arise when society is broken by war.<br><br>Ruba: (singing) Reality is not functioning. There is no social field. Watermoon. Thoughts in silence. Ideas of collective memories, global thinking overviews. Points of view. Watermoon. In my mind..on opaque screen...horizontality explained by the sea; writing on the water. In my dream, the sky is lit, the meaning of being..what is it?! Creation and destruction hand in hand. Watermoon. The Theory of Chaos, How to become the butterfly of yourself?</p>",Egypt,26.820553,30.802498,Lebanon,33.854721,35.862285,,,,,,,2011,image,,Image,English,Rights Remain With Artist,,"Taher Square, Cairo, Egypt",30.0445393,31.2352658,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc966277671f31d1deae5_daily5.webp,,,
Daily Images of Chaotic Events 6,Mon Sep 30 2024 09:05:48 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 01:53:18 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 02:14:44 GMT+0000 (Coordinated Universal Time),ahmed-nagy,Egypt,26.820553,30.802498,,,,"Biba Sheikh, Literary Text, Curator",,,"<p>Ahmed Nagy’s series, Daily Images of Chaotic Events, was created in response to poetic theatre texts written by Habibah Sheikh, a nomadic performance artist originally from Lebanon, and the curator of the Mitli Mitlak exhibition. In the text, a character named Ruba experiences the destruction of war firsthand and becomes a refugee in the process.<br><br>The series is based on pictures Nagy took with a cell phone, in the street during the Egyptian revolution. Daily Images of Chaotic Events is a cell phone capturing the Egyptian revolution. “I utilize what was happening in Egypt, and apply it as a formula to make artworks. In Egypt, what happened was fighting in the street. Through my artwork, I don’t have political say. The art itself is a great political action. When I am inspired by the streets I create something new,"" says Nagy.<br><br>In Act 1, Scene 2, Mitli Mitlak (Like You, Like Me), this series of photos depicts the view from the window of a young couple’s apartment during war. Much like Nagy, the couple in Mitli Mitlak are poetic young artists who apply their own experiences during the war in the hopes that their art will enable truth to shine through the cracks of every day chaotic reality:<br><br>Act 1, Scene 2, Mitli Mitlak (Like You, Like Me)<br><br>Carlos: as the disappearance of reality...when there is no ruling body...the disappearance of our objectified self because ...the nonexistent social field. Our subjectivity is all there is...We collide in time. A deep meaning can arise when society is broken by war.<br><br>Ruba: (singing) Reality is not functioning. There is no social field. Watermoon. Thoughts in silence. Ideas of collective memories, global thinking overviews. Points of view. Watermoon. In my mind..on opaque screen...horizontality explained by the sea; writing on the water. In my dream, the sky is lit, the meaning of being..what is it?! Creation and destruction hand in hand. Watermoon. The Theory of Chaos, How to become the butterfly of yourself?</p>",Egypt,26.820553,30.802498,Lebanon,33.854721,35.862285,,,,,,,2011,image,,Image,English,Rights Remain With Artist,,"Taher Square, Cairo, Egypt",30.0445393,31.2352658,mitli-mitlak-like-you-like-me-exhibition,https://cdn.prod.website-files.com/660437127c5c859535a8161c/66ffc9593632501af5dbec69_daily6.webp,,,
